IBOVESPA - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;117.517,57;110.334,83;115.253,31;;128.267,05;125.666,19;;;;;
2;;118.233,81;111.539,80;;;129.601,44;127.621,65;;;;;
3;;119.724,72;111.183,95;;119.209,48;;;;;;;
4;118.854,71;119.260,82;112.690,17;;117.712,00;130.125,78;;;;;;
5;119.376,21;120.240,26;115.202,23;117.518,44;119.564,44;;126.920,05;;;;;
6;119.100,08;;;117.498,87;119.920,61;;125.094,88;;;;;
7;122.385,92;;;117.623,58;122.038,11;130.776,27;127.018,71;;;;;
8;125.076,63;119.696,36;110.611,58;118.313,23;;129.787,11;125.427,77;;;;;
9;;119.471,62;111.330,62;117.669,90;;129.906,80;;;;;;
10;;118.435,33;112.776,49;;121.909,03;130.076,17;;;;;;
11;123.255,13;119.299,83;114.983,76;;122.964,01;129.441,03;;;;;;
12;123.998,00;119.428,72;114.160,40;118.811,74;119.710,03;;;;;;;
13;121.933,08;;;119.297,13;120.705,91;;;;;;;
14;123.480,52;;;120.294,68;121.880,82;130.207,96;;;;;;
15;120.348,80;;114.850,74;120.700,67;;130.091,08;;;;;;
16;;;114.018,78;121.113,93;;129.259,49;;;;;;
17;;120.355,79;116.549,44;;122.937,87;128.057,22;;;;;;
18;121.241,63;119.198,97;114.835,43;;122.979,96;128.405,35;;;;;;
19;120.636,39;118.430,53;116.221,58;120.933,78;122.636,30;;;;;;;
20;119.646,40;;;120.061,99;122.700,79;;;;;;;
21;118.328,99;;;;122.592,47;129.264,96;;;;;;
22;117.380,49;112.667,70;114.978,86;119.371,48;;128.767,45;;;;;;
23;;115.227,46;113.261,80;120.530,06;;128.427,98;;;;;;
24;;115.667,78;112.064,19;;124.031,62;129.513,62;;;;;;
25;;112.256,36;113.749,90;;122.987,71;127.255,61;;;;;;
26;116.464,06;110.035,17;114.780,62;120.594,61;123.989,17;;;;;;;
27;115.882,30;;;119.388,37;124.366,57;;;;;;;
28;118.883,25;;;121.052,52;125.561,37;127.429,17;;;;;;
29;115.067,55;;115.418,72;120.065,75;;127.327,44;;;;;;
30;;;116.849,67;118.893,84;;126.801,66;;;;;;
31;;;116.633,72;;126.215,73;;;;;;;
MÍNIMO;115.067,55;110.035,17;110.334,83;115.253,31;117.712,00;126.801,66;125.094,88;;;;;
MÍNIMO;125.076,63;120.355,79;116.849,67;121.113,93;126.215,73;130.776,27;127.621,65;;;;;
