"","date","ibov","dexuseu","dexrealus","dexchus","dcoilwtico","dexeuus"
"1",2011-07-12,59704.75,1.4014,1.5773,6.472,97.41,0.713572142143571
"2",2011-07-13,60669.89,1.4167,1.5762,6.4675,98.04,0.705865744335427
"3",2011-07-14,59679.35,1.4182,1.5729,6.459,95.75,0.705119165138908
"4",2011-07-15,59478.01,1.4156,1.5743,6.461,97.24,0.706414241311105
"5",2011-07-18,58837.61,1.4042,1.5828,6.4688,95.94,0.712149266486256
"6",2011-07-19,59082.13,1.4156,1.5691,6.4631,97.49,0.706414241311105
"7",2011-07-20,59119.71,1.4188,1.5651,6.4581,98.11,0.70482097547223
"8",2011-07-21,60262.95,1.4372,1.5567,6.4535,98.96,0.695797383801837
"9",2011-07-22,60270.47,1.4366,1.5547,6.4464,99.53,0.69608798552137
"10",2011-07-25,59970.54,1.4357,1.5449,6.445,98.97,0.696524343525806
"11",2011-07-26,59339.9,1.4495,1.5345,6.4411,99.61,0.689893066574681
"12",2011-07-27,58288.46,1.4373,1.5639,6.4428,97.4,0.695748973770264
"13",2011-07-28,58708.25,1.4303,1.5651,6.4418,97.48,0.699154023631406
"14",2011-07-29,58823.45,1.4388,1.5563,6.436,95.68,0.695023630803447
"15",2011-08-01,58535.74,1.4202,1.5551,6.4337,94.98,0.704126179411351
"16",2011-08-02,57310.78,1.4232,1.5656,6.4379,93.78,0.702641933670601
"17",2011-08-03,56017.22,1.432,1.5651,6.434,91.87,0.698324022346369
"18",2011-08-04,52811.36,1.4158,1.5752,6.4377,86.75,0.706314451193671
"19",2011-08-05,52949.22,1.4158,1.5895,6.4401,86.89,0.706314451193671
"20",2011-08-08,48668.29,1.4241,1.5999,6.4342,81.27,0.702197879362404
"21",2011-08-09,51150.9,1.4242,1.6334,6.4304,79.32,0.702148574638394
"22",2011-08-10,51395.29,1.4193,1.6183,6.4172,83.05,0.704572676671599
"23",2011-08-11,53343.11,1.423,1.6306,6.3935,85.48,0.702740688685875
"24",2011-08-12,53473.35,1.4239,1.6157,6.3892,85.19,0.702296509586347
"25",2011-08-15,54651.83,1.4452,1.5956,6.3902,87.88,0.691945751453086
"26",2011-08-16,54323.61,1.4421,1.5918,6.3818,86.65,0.693433187712364
"27",2011-08-17,55073.02,1.4436,1.583,6.3839,87.58,0.692712662787476
